Date,Open,High,Low,Close
1981-12-30,0.8664,0.8664,0.8664,0.8664
1981-12-31,0.8715,0.8715,0.8715,0.8715
1982-01-04,0.8701,0.8701,0.8701,0.8701
1982-01-05,0.8624,0.8624,0.8624,0.8624
1982-01-06,0.8684,0.8684,0.8684,0.8684
1982-01-07,0.8624,0.8624,0.8624,0.8624
1982-01-08,0.8636,0.8636,0.8636,0.8636
1982-01-11,0.8538,0.8538,0.8538,0.8538
1982-01-12,0.8527,0.8527,0.8527,0.8527
1982-01-13,0.8506,0.8506,0.8506,0.8506
1982-01-14,0.8457,0.8457,0.8457,0.8457
1982-01-15,0.8435,0.8435,0.8435,0.8435
1982-01-18,0.8488,0.8488,0.8488,0.8488
1982-01-19,0.8499,0.8499,0.8499,0.8499
1982-01-20,0.8448,0.8448,0.8448,0.8448
1982-01-21,0.8489,0.8489,0.8489,0.8489
1982-01-22,0.8448,0.8448,0.8448,0.8448
1982-01-25,0.8341,0.8341,0.8341,0.8341
1982-01-26,0.8428,0.8428,0.8428,0.8428
1982-01-27,0.8397,0.8397,0.8397,0.8397
1982-01-28,0.8379,0.8379,0.8379,0.8379
1982-01-29,0.8419,0.8419,0.8419,0.8419
1982-02-01,0.8299,0.8299,0.8299,0.8299
1982-02-02,0.829,0.829,0.829,0.829
1982-02-03,0.8265,0.8265,0.8265,0.8265
1982-02-04,0.8328,0.8328,0.8328,0.8328
1982-02-05,0.8316,0.8316,0.8316,0.8316
1982-02-08,0.8271,0.8271,0.8271,0.8271
1982-02-09,0.8212,0.8212,0.8212,0.8212
1982-02-10,0.8241,0.8241,0.8241,0.8241
1982-02-11,0.8241,0.8241,0.8241,0.8241
1982-02-16,0.8141,0.8141,0.8141,0.8141
1982-02-17,0.8129,0.8129,0.8129,0.8129
1982-02-18,0.8242,0.8242,0.8242,0.8242
1982-02-19,0.8247,0.8247,0.8247,0.8247
1982-02-22,0.8293,0.8293,0.8293,0.8293
1982-02-23,0.8218,0.8218,0.8218,0.8218
1982-02-24,0.8239,0.8239,0.8239,0.8239
1982-02-25,0.823,0.823,0.823,0.823
1982-02-26,0.8167,0.8167,0.8167,0.8167
1982-03-01,0.8169,0.8169,0.8169,0.8169
1982-03-02,0.8205,0.8205,0.8205,0.8205
1982-03-03,0.8222,0.8222,0.8222,0.8222
1982-03-04,0.8248,0.8248,0.8248,0.8248
1982-03-05,0.8322,0.8322,0.8322,0.8322
1982-03-08,0.8324,0.8324,0.8324,0.8324
1982-03-09,0.8238,0.8238,0.8238,0.8238
1982-03-10,0.8269,0.8269,0.8269,0.8269
1982-03-11,0.8225,0.8225,0.8225,0.8225
1982-03-12,0.8196,0.8196,0.8196,0.8196
1982-03-15,0.8216,0.8216,0.8216,0.8216
1982-03-16,0.8203,0.8203,0.8203,0.8203
1982-03-17,0.8219,0.8219,0.8219,0.8219
1982-03-18,0.821,0.821,0.821,0.821
